TACC: Starting up job 1702510
TACC: Starting parallel tasks...
  /opt/apps/intel13/impi/4.1.0.030/intel64/bin/mpiexec.hydra -iface br0 -configfile /home1/02636/uswickra/.slurm/config_file.1702510.2vWt60YW 

Unidirectional and Bidirectional Communication Test

  Test            Processes  Message Size (bytes)   Bandwidth (MB)  Op time (us)
--------------------------------------------------------------------------------
  Unidirectional          2                    32           29.178         0.548
  Unidirectional          2                    64           72.550         0.441
  Unidirectional          2                   128          145.100         0.441
  Unidirectional          2                   256          255.653         0.501
  Unidirectional          2                   512          466.844         0.548
  Unidirectional          2                  1024          604.925         0.846
  Unidirectional          2                  2048          727.961         1.407
  Unidirectional          2                  4096         2564.160         0.799
  Unidirectional          2                  8192          965.161         4.244
  Unidirectional          2                 16384         1651.910         4.959
  Unidirectional          2                 32768         2485.334         6.592
  Unidirectional          2                 65536         3260.711        10.049
  Unidirectional          2                131072         3972.224        16.499
  Unidirectional          2                262144         4496.980        29.147
  Unidirectional          2                524288         4611.078        56.851
  Unidirectional          2               1048576         4773.222       109.839
  Unidirectional          2               2097152         4807.922       218.093
  Unidirectional          2               4194304         4771.668       439.501
  Unidirectional          2               8388608         4755.159       882.053

  Unidirectional          4                    32           48.806         0.656
  Unidirectional          4                    64          127.826         0.501
  Unidirectional          4                   128          214.748         0.596
  Unidirectional          4                   256          244.032         1.049
  Unidirectional          4                   512          681.741         0.751
  Unidirectional          4                  1024          641.040         1.597
  Unidirectional          4                  2048          872.075         2.348
  Unidirectional          4                  4096         1301.505         3.147
  Unidirectional          4                  8192         1739.734         4.709
  Unidirectional          4                 16384         2603.010         6.294
  Unidirectional          4                 32768         3597.878         9.108
  Unidirectional          4                 65536         4121.108        15.903
  Unidirectional          4                131072         4504.349        29.099
  Unidirectional          4                262144         4791.944        54.705
  Unidirectional          4                524288         4808.185       109.041
  Unidirectional          4               1048576         4818.721       217.605
  Unidirectional          4               2097152         4766.368       439.990
  Unidirectional          4               4194304         4737.934       885.260
  Unidirectional          4               8388608         4734.364      1771.855

  Unidirectional          8                    32           55.348         1.156
  Unidirectional          8                    64          149.131         0.858
  Unidirectional          8                   128          204.522         1.252
  Unidirectional          8                   256          292.175         1.752
  Unidirectional          8                   512          464.321         2.205
  Unidirectional          8                  1024          641.040         3.195
  Unidirectional          8                  2048          881.019         4.649
  Unidirectional          8                  4096         1270.231         6.449
  Unidirectional          8                  8192         2710.827         6.044
  Unidirectional          8                 16384         3926.827         8.345
  Unidirectional          8                 32768         4096.541        15.998
  Unidirectional          8                 65536         4550.959        28.801
  Unidirectional          8                131072         4732.135        55.397
  Unidirectional          8                262144         4857.036       107.944
  Unidirectional          8                524288         4789.074       218.952
  Unidirectional          8               1048576         4705.806       445.652
  Unidirectional          8               2097152         4704.233       891.602
  Unidirectional          8               4194304         4723.971      1775.753
  Unidirectional          8               8388608         4737.918      3541.052

  Unidirectional         16                    32           98.508         1.299
  Unidirectional         16                    64          255.653         1.001
  Unidirectional         16                   128          447.392         1.144
  Unidirectional         16                   256          523.776         1.955
  Unidirectional         16                   512         1321.528         1.550
  Unidirectional         16                  1024         1137.740         3.600
  Unidirectional         16                  2048         1388.272         5.901
  Unidirectional         16                  4096         2127.538         7.701
  Unidirectional         16                  8192         4121.108         7.951
  Unidirectional         16                 16384         4398.047        14.901
  Unidirectional         16                 32768         4647.133        28.205
  Unidirectional         16                 65536         4862.944        53.906
  Unidirectional         16                131072         4948.297       105.953
  Unidirectional         16                262144         4998.064       209.796
  Unidirectional         16                524288         4961.275       422.704
  Unidirectional         16               1048576         4965.406       844.705
  Unidirectional         16               2097152         4962.360      1690.447
  Unidirectional         16               4194304         4963.007      3380.454
  Unidirectional         16               8388608         4965.284      6757.808

  Unidirectional         20                    32           28.864         5.543
  Unidirectional         20                    64           71.774         4.458
  Unidirectional         20                   128          156.067         4.101
  Unidirectional         20                   256          290.987         4.399
  Unidirectional         20                   512          502.924         5.090
  Unidirectional         20                  1024          994.205         5.150
  Unidirectional         20                  2048         1176.703         8.702
  Unidirectional         20                  4096         1923.838        10.645
  Unidirectional         20                  8192         2078.629        19.705
  Unidirectional         20                 16384         2725.882        30.053
  Unidirectional         20                 32768         2981.322        54.955
  Unidirectional         20                 65536         3132.512       104.606
  Unidirectional         20                131072         3458.236       189.507
