TACC: Starting up job 1707088
TACC: Starting parallel tasks...
  /opt/apps/intel13/impi/4.1.0.030/intel64/bin/mpiexec.hydra -iface br0 -configfile /home1/02636/uswickra/.slurm/config_file.1707088.AkYZZ0Mj 
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60
params:  6442450944 60

Unidirectional and Bidirectional Communication Test

  Test            Processes  Message Size (bytes)   Bandwidth (MB)  Op time (us)
--------------------------------------------------------------------------------
  Unidirectional          2                    32            2.208         7.248
  Unidirectional          2                    64           17.777         1.800
  Unidirectional          2                   128           29.020         2.205
  Unidirectional          2                   256           29.099         4.399
  Unidirectional          2                   512           76.423         3.350
  Unidirectional          2                  1024          176.023         2.909
  Unidirectional          2                  2048          293.172         3.493
  Unidirectional          2                  4096          305.692         6.700
  Unidirectional          2                  8192          644.648         6.354
  Unidirectional          2                 16384          660.129        12.410
  Unidirectional          2                 32768          848.913        19.300
  Unidirectional          2                 65536         1662.903        19.705
  Unidirectional          2                131072         1964.817        33.355
  Unidirectional          2                262144         2436.321        53.799
  Unidirectional          2                524288         1581.121       165.796
  Unidirectional          2               1048576         1851.341       283.194
  Unidirectional          2               2097152         2185.908       479.698
  Unidirectional          2               4194304         2279.991       919.807
  Unidirectional          2               8388608         2356.023      1780.248

  Unidirectional          4                    32            5.711         5.603
  Unidirectional          4                    64           20.649         3.099
  Unidirectional          4                   128           49.254         2.599
  Unidirectional          4                   256           86.592         2.956
  Unidirectional          4                   512          155.053         3.302
  Unidirectional          4                  1024          292.175         3.505
  Unidirectional          4                  2048          641.040         3.195
  Unidirectional          4                  4096          644.648         6.354
  Unidirectional          4                  8192         1240.424         6.604
  Unidirectional          4                 16384         1343.489        12.195
  Unidirectional          4                 32768         1967.630        16.654
  Unidirectional          4                 65536         3692.114        17.750
  Unidirectional          4                131072         4680.765        28.002
  Unidirectional          4                262144         4300.847        60.952
  Unidirectional          4                524288         3140.564       166.941
