TACC: Starting up job 1976186
TACC: Starting parallel tasks...
  /opt/apps/intel13/impi/4.1.0.030/intel64/bin/mpiexec.hydra -iface br0 -configfile /home1/02636/uswickra/.slurm/config_file.1976186.wpt9l1aA 
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20

Unidirectional and Bidirectional Communication Test

  Test            Processes  Message Size (bytes)   Bandwidth (MB)  Op time (us)
--------------------------------------------------------------------------------
  Unidirectional          2                    32            5.736         2.789
  Unidirectional          2                    64           84.414         0.379
  Unidirectional          2                   128          173.184         0.370
  Unidirectional          2                   256          319.566         0.401
  Unidirectional          2                   512          658.737         0.389
  Unidirectional          2                  1024         1220.161         0.420
  Unidirectional          2                  2048          929.647         1.101
  Unidirectional          2                  4096         1401.294         1.462
  Unidirectional          2                  8192          595.283         6.881
  Unidirectional          2                 16384         1093.563         7.491
  Unidirectional          2                 32768         1843.334         8.888
  Unidirectional          2                 65536         2847.295        11.508
  Unidirectional          2                131072         3889.048        16.851
  Unidirectional          2                262144         4721.366        27.761
  Unidirectional          2                524288         5039.470        52.018
  Unidirectional          2               1048576         5410.716        96.898
  Unidirectional          2               2097152         5585.601       187.728
  Unidirectional          2               4194304         5660.802       370.469
  Unidirectional          2               8388608         5711.341       734.382

  Unidirectional          4                    32           74.565         0.429
  Unidirectional          4                    64          149.131         0.429
  Unidirectional          4                   128          305.040         0.420
  Unidirectional          4                   256          441.869         0.579
  Unidirectional          4                   512          913.823         0.560
  Unidirectional          4                  1024         1363.482         0.751
  Unidirectional          4                  2048          934.705         2.191
  Unidirectional          4                  4096         1586.322         2.582
  Unidirectional          4                  8192         1166.714         7.021
  Unidirectional          4                 16384         2100.229         7.801
  Unidirectional          4                 32768         3054.199        10.729
  Unidirectional          4                 65536         4182.561        15.669
  Unidirectional          4                131072         4626.795        28.329
  Unidirectional          4                262144         5230.290        50.120
  Unidirectional          4                524288         5247.138        99.919
  Unidirectional          4               1048576         5415.046       193.641
