TACC: Starting up job 1779644
TACC: Starting parallel tasks...
  /opt/apps/intel13/impi/4.1.0.030/intel64/bin/mpiexec.hydra -iface br0 -configfile /home1/02636/uswickra/.slurm/config_file.1779644.lMFvU0Dt 


Unidirectional and Bidirectional Communication Test

  Test            Processes  Message Size (bytes)   Bandwidth (MB)  Op time (us)
--------------------------------------------------------------------------------
  Unidirectional          2                    32           43.296         0.370
  Unidirectional          2                    64           93.859         0.341
  Unidirectional          2                   128          182.609         0.350
  Unidirectional          2                   256          337.655         0.379
  Unidirectional          2                   512          639.132         0.401
  Unidirectional          2                  1024         1003.497         0.510
  Unidirectional          2                  2048          867.670         1.180
  Unidirectional          2                  4096          595.283         3.440
  Unidirectional          2                  8192          590.171         6.940
  Unidirectional          2                 16384         1069.397         7.660
  Unidirectional          2                 32768         1808.407         9.060
  Unidirectional          2                 65536         2772.064        11.821
  Unidirectional          2                131072         3839.077        17.071
  Unidirectional          2                262144         4711.654        27.819
  Unidirectional          2                524288         4971.342        52.731
  Unidirectional          2               1048576         5510.646        95.141
  Unidirectional          2               2097152         5796.743       180.891
  Unidirectional          2               4194304         5958.646       351.951
  Unidirectional          2               8388608         6036.443       694.830

  Unidirectional          4                    32           74.153         0.432
  Unidirectional          4                    64          182.609         0.350
  Unidirectional          4                   128          321.480         0.398
  Unidirectional          4                   256          654.721         0.391
  Unidirectional          4                   512         1167.111         0.439
  Unidirectional          4                  1024         1189.742         0.861
  Unidirectional          4                  2048          906.111         2.260
  Unidirectional          4                  4096         1402.438         2.921
  Unidirectional          4                  8192         1093.563         7.491
  Unidirectional          4                 16384         1836.928         8.919
  Unidirectional          4                 32768         2894.670        11.320
  Unidirectional          4                 65536         4230.844        15.490
  Unidirectional          4                131072         5012.362        26.150
  Unidirectional          4                262144         5442.319        48.168
  Unidirectional          4                524288         5596.476        93.682
  Unidirectional          4               1048576         5845.279       179.389
  Unidirectional          4               2097152         5949.899       352.468
  Unidirectional          4               4194304         5999.491       699.110
  Unidirectional          4               8388608         6017.828      1393.960

  Unidirectional          8                    32          118.777         0.539
  Unidirectional          8                    64          246.271         0.520
  Unidirectional          8                   128          360.316         0.710
  Unidirectional          8                   256          469.909         1.090
  Unidirectional          8                   512          610.081         1.678
  Unidirectional          8                  1024          960.843         2.131
  Unidirectional          8                  2048          952.321         4.301
  Unidirectional          8                  4096         1542.871         5.310
  Unidirectional          8                  8192         2035.530         8.049
  Unidirectional          8                 16384         3573.556         9.170
  Unidirectional          8                 32768         4822.419        13.590
  Unidirectional          8                 65536         5332.258        24.581
  Unidirectional          8                131072         5574.203        47.028
  Unidirectional          8                262144         5770.352        90.859
  Unidirectional          8                524288         5777.325       181.499
  Unidirectional          8               1048576         5805.772       361.218
  Unidirectional          8               2097152         5682.029       738.170
  Unidirectional          8               4194304         5796.361      1447.220
  Unidirectional          8               8388608         5806.251      2889.509

  Unidirectional         16                    32          131.909         0.970
  Unidirectional         16                    64          274.614         0.932
  Unidirectional         16                   128          399.904         1.280
  Unidirectional         16                   256          509.486         2.010
  Unidirectional         16                   512          931.663         2.198
  Unidirectional         16                  1024         1226.258         3.340
  Unidirectional         16                  2048         1053.011         7.780
  Unidirectional         16                  4096         1473.402        11.120
  Unidirectional         16                  8192         3211.941        10.202
  Unidirectional         16                 16384         4320.621        15.168
  Unidirectional         16                 32768         5124.017        25.580
  Unidirectional         16                 65536         5454.468        48.060
  Unidirectional         16                131072         5301.278        98.898
  Unidirectional         16                262144         5368.250       195.329
  Unidirectional         16                524288         5445.149       385.141
  Unidirectional         16               1048576         5325.076       787.652
  Unidirectional         16               2097152         5514.973      1521.060
  Unidirectional         16               4194304         5431.720      3088.748
  Unidirectional         16               8388608         5574.510      6019.261

  Unidirectional         32                    32          196.656         1.302
  Unidirectional         32                    64          522.502         0.980
  Unidirectional         32                   128          898.529         1.140
  Unidirectional         32                   256         1106.950         1.850
  Unidirectional         32                   512         1568.938         2.611
  Unidirectional         32                  1024         1717.128         4.771
  Unidirectional         32                  2048         2063.028         7.942
  Unidirectional         32                  4096         2580.044        12.701
  Unidirectional         32                  8192         4080.729        16.060
  Unidirectional         32                 16384         5222.341        25.098
  Unidirectional         32                 32768         5527.128        47.429
  Unidirectional         32                 65536         5800.336        90.389
  Unidirectional         32                131072         5654.252       185.449
  Unidirectional         32                262144         5704.377       367.639
  Unidirectional         32                524288         5685.481       737.722
  Unidirectional         32               1048576         5724.564      1465.371
  Unidirectional         32               2097152         5740.943      2922.380
  Unidirectional         32               4194304         5749.757      5835.800
  Unidirectional         32               8388608         5702.341     11768.651

  Unidirectional         64                    32          148.409         3.450
  Unidirectional         64                    64          179.032         5.720
  Unidirectional         64                   128          711.087         2.880
  Unidirectional         64                   256         1252.177         3.271
  Unidirectional         64                   512         2184.344         3.750
  Unidirectional         64                  1024         3139.309         5.219
  Unidirectional         64                  2048         2984.559        10.979
  Unidirectional         64                  4096         3571.234        18.351
  Unidirectional         64                  8192         4110.324        31.888
  Unidirectional         64                 16384         4653.624        56.331
  Unidirectional         64                 32768         5035.893       104.110
  Unidirectional         64                 65536         5089.978       206.008
  Unidirectional         64                131072         5389.862       389.092
  Unidirectional         64                262144         5057.086       829.391
  Unidirectional         64                524288         5055.023      1659.460
  Unidirectional         64               1048576         4997.517      3357.110
  Unidirectional         64               2097152         4952.407      6775.379
  Unidirectional         64               4194304         4929.773     13612.971
  Unidirectional         64               8388608         4928.325     27233.942

  Unidirectional        128                    32          254.743         4.020
  Unidirectional        128                    64          441.188         4.642
  Unidirectional        128                   128         1190.566         3.440
  Unidirectional        128                   256         2127.538         3.850
  Unidirectional        128                   512         4004.632         4.091
  Unidirectional        128                  1024         5526.295         5.929
  Unidirectional        128                  2048         5784.468        11.330
  Unidirectional        128                  4096         7334.967        17.869
  Unidirectional        128                  8192         8068.034        32.492
  Unidirectional        128                 16384         9405.977        55.740
  Unidirectional        128                 32768         9832.871       106.640
  Unidirectional        128                 65536        10063.143       208.399
  Unidirectional        128                131072        10912.184       384.369
  Unidirectional        128                262144        10400.592       806.551
  Unidirectional        128                524288         9958.231      1684.759
  Unidirectional        128               1048576         9814.912      3418.720
  Unidirectional        128               2097152         9720.430      6903.899
  Unidirectional        128               4194304         9801.722     13693.280
  Unidirectional        128               8388608         9763.348     27494.202

  Unidirectional        256                    32          531.884         3.850
  Unidirectional        256                    64         1153.786         3.550
  Unidirectional        256                   128         2281.523         3.591
  Unidirectional        256                   256         3479.467         4.709
  Unidirectional        256                   512         7361.487         4.451
  Unidirectional        256                  1024        10222.310         6.411
  Unidirectional        256                  2048         8449.982        15.512
  Unidirectional        256                  4096        14340.833        18.280
  Unidirectional        256                  8192        16819.820        31.171
  Unidirectional        256                 16384        18539.167        56.560
  Unidirectional        256                 32768        18855.909       111.220
  Unidirectional        256                 65536        17503.269       239.630
  Unidirectional        256                131072        18588.924       451.269
  Unidirectional        256                262144        19235.946       872.180
  Unidirectional        256                524288        18407.067      1822.910
  Unidirectional        256               1048576        17730.216      3785.000
  Unidirectional        256               2097152        17903.312      7496.810
  Unidirectional        256               4194304        17828.235     15056.760
  Unidirectional        256               8388608        17267.494     31091.421

  Unidirectional        320                    32          612.517         4.179
  Unidirectional        320                    64         1620.742         3.159
  Unidirectional        320                   128         2993.009         3.421
  Unidirectional        320                   256         5250.571         3.901
  Unidirectional        320                   512         8985.287         4.559
  Unidirectional        320                  1024        12081.483         6.781
  Unidirectional        320                  2048        14001.523        11.702
  Unidirectional        320                  4096        16118.090        20.330
  Unidirectional        320                  8192        20467.454        32.020
  Unidirectional        320                 16384        22408.829        58.491
  Unidirectional        320                 32768        23223.395       112.879
  Unidirectional        320                 65536        22544.142       232.561
  Unidirectional        320                131072        22604.394       463.881
  Unidirectional        320                262144        24320.165       862.310
  Unidirectional        320                524288        23115.221      1814.520
  Unidirectional        320               1048576        22555.111      3719.161
  Unidirectional        320               2097152        22962.508      7306.352
  Unidirectional        320               4194304        22035.909     15227.160
  Unidirectional        320               8388608        22083.451     30388.758

  Bidirectional           2                    32           14.814         4.320
  Bidirectional           2                    64           30.060         4.258
  Bidirectional           2                   128           55.692         4.597
  Bidirectional           2                   256          101.106         5.064
  Bidirectional           2                   512          182.299         5.617
  Bidirectional           2                  1024          272.350         7.520
  Bidirectional           2                  2048          531.884         7.701
  Bidirectional           2                  4096         1058.526         7.739
  Bidirectional           2                  8192         1073.406        15.264
  Bidirectional           2                 16384         1830.567        17.900
  Bidirectional           2                 32768         3033.972        21.601
  Bidirectional           2                 65536         4337.666        30.217
  Bidirectional           2                131072         5885.406        44.541
  Bidirectional           2                262144         7065.816        74.201
  Bidirectional           2                524288         7634.702       137.343
  Bidirectional           2               1048576         8351.937       251.098
  Bidirectional           2               2097152         8883.596       472.140
  Bidirectional           2               4194304         9048.641       927.057
  Bidirectional           2               8388608         8995.340      1865.101

  Bidirectional           4                    32           29.210         4.382
  Bidirectional           4                    64           59.257         4.320
  Bidirectional           4                   128          110.354         4.640
  Bidirectional           4                   256          197.017         5.198
  Bidirectional           4                   512          279.802         7.319
  Bidirectional           4                  1024          414.572         9.880
  Bidirectional           4                  2048          682.825        11.997
  Bidirectional           4                  4096         1266.018        12.941
