TACC: Starting up job 1779636
TACC: Starting parallel tasks...
  /opt/apps/intel13/impi/4.1.0.030/intel64/bin/mpiexec.hydra -iface br0 -configfile /home1/02636/uswickra/.slurm/config_file.1779636.wSEAuQIH 

Unidirectional and Bidirectional Communication Test

  Test            Processes  Message Size (bytes)   Bandwidth (MB)  Op time (us)
--------------------------------------------------------------------------------
  Unidirectional          2                    32            8.549         1.872
  Unidirectional          2                    64           27.788         1.152
  Unidirectional          2                   128           53.261         1.202
  Unidirectional          2                   256           60.323         2.122
  Unidirectional          2                   512          138.369         1.850
  Unidirectional          2                  1024          228.699         2.239
  Unidirectional          2                  2048          419.430         2.441
  Unidirectional          2                  4096          654.222         3.130
  Unidirectional          2                  8192         1244.918         3.290
  Unidirectional          2                 16384         1631.517         5.021
  Unidirectional          2                 32768         2034.927         8.051
  Unidirectional          2                 65536         2900.168        11.299
  Unidirectional          2                131072         3366.127        19.469
  Unidirectional          2                262144         3002.817        43.650
  Unidirectional          2                524288         1581.371       165.770
  Unidirectional          2               1048576         1889.130       277.529
  Unidirectional          2               2097152         2110.741       496.781
  Unidirectional          2               4194304         2224.364       942.810
  Unidirectional          2               8388608         2303.514      1820.829

  Unidirectional          4                    32            6.440         4.969
  Unidirectional          4                    64           45.730         1.400
  Unidirectional          4                   128           84.814         1.509
  Unidirectional          4                   256          136.262         1.879
  Unidirectional          4                   512          207.286         2.470
  Unidirectional          4                  1024          396.947         2.580
  Unidirectional          4                  2048          842.977         2.429
  Unidirectional          4                  4096         1304.470         3.140
  Unidirectional          4                  8192         2443.794         3.352
  Unidirectional          4                 16384         3531.319         4.640
  Unidirectional          4                 32768         4525.484         7.241
  Unidirectional          4                 65536         6013.518        10.898
  Unidirectional          4                131072         6883.995        19.040
  Unidirectional          4                262144         5293.749        49.520
  Unidirectional          4                524288         3081.505       170.140
  Unidirectional          4               1048576         3765.096       278.499
  Unidirectional          4               2097152         4144.155       506.051
  Unidirectional          4               4194304         4342.517       965.869
  Unidirectional          4               8388608         4502.626      1863.048

  Unidirectional          8                    32           26.240         2.439
  Unidirectional          8                    64           83.755         1.528
  Unidirectional          8                   128          160.021         1.600
  Unidirectional          8                   256          252.348         2.029
  Unidirectional          8                   512          474.058         2.160
  Unidirectional          8                  1024          781.614         2.620
  Unidirectional          8                  2048         1651.910         2.480
  Unidirectional          8                  4096         2575.693         3.181
  Unidirectional          8                  8192         4775.502         3.431
  Unidirectional          8                 16384         6476.859         5.059
  Unidirectional          8                 32768         7981.356         8.211
  Unidirectional          8                 65536        10960.044        11.959
  Unidirectional          8                131072        13532.451        19.372
  Unidirectional          8                262144        11565.893        45.331
  Unidirectional          8                524288         6048.168       173.371
  Unidirectional          8               1048576         7405.677       283.182
  Unidirectional          8               2097152         8212.665       510.712
  Unidirectional          8               4194304         8607.861       974.529
  Unidirectional          8               8388608         8924.098      1879.990

  Unidirectional         16                    32           20.130         6.359
  Unidirectional         16                    64          144.514         1.771
  Unidirectional         16                   128          268.100         1.910
  Unidirectional         16                   256          492.542         2.079
  Unidirectional         16                   512          842.977         2.429
  Unidirectional         16                  1024         1412.818         2.899
  Unidirectional         16                  2048         3014.012         2.718
  Unidirectional         16                  4096         4442.112         3.688
  Unidirectional         16                  8192         7673.867         4.270
  Unidirectional         16                 16384        11848.186         5.531
  Unidirectional         16                 32768        14452.046         9.069
  Unidirectional         16                 65536        21575.974        12.150
  Unidirectional         16                131072        24534.456        21.369
  Unidirectional         16                262144        21123.128        49.641
  Unidirectional         16                524288        11977.577       175.090
  Unidirectional         16               1048576        14452.639       290.210
  Unidirectional         16               2097152        16084.873       521.522
  Unidirectional         16               4194304        16946.197       990.028
  Unidirectional         16               8388608        17467.989      1920.910

  Unidirectional         32                    32           47.511         5.388
  Unidirectional         32                    64          223.696         2.289
  Unidirectional         32                   128          459.355         2.229
  Unidirectional         32                   256          796.840         2.570
  Unidirectional         32                   512         1447.335         2.830
  Unidirectional         32                  1024         2438.590         3.359
  Unidirectional         32                  2048         5182.464         3.161
  Unidirectional         32                  4096         6620.373         4.950
  Unidirectional         32                  8192        12725.829         5.150
  Unidirectional         32                 16384        17884.054         7.329
  Unidirectional         32                 32768        20939.090        12.519
  Unidirectional         32                 65536        33670.544        15.571
  Unidirectional         32                131072        40832.295        25.680
  Unidirectional         32                262144        41784.680        50.189
  Unidirectional         32                524288        22930.976       182.910
  Unidirectional         32               1048576        27260.548       307.720
  Unidirectional         32               2097152        29679.932       565.271
  Unidirectional         32               4194304        31072.062      1079.891
  Unidirectional         32               8388608        31935.784      2101.369

  Unidirectional         60                    32           42.699        11.241
  Unidirectional         60                    64          332.222         2.890
  Unidirectional         60                   128          651.016         2.949
  Unidirectional         60                   256         1185.146         3.240
  Unidirectional         60                   512         2086.286         3.681
  Unidirectional         60                  1024         3857.755         3.982
  Unidirectional         60                  2048         7983.211         3.848
  Unidirectional         60                  4096         8997.837         6.828
  Unidirectional         60                  8192        16898.232         7.272
  Unidirectional         60                 16384        20207.649        12.162
  Unidirectional         60                 32768        25679.924        19.140
  Unidirectional         60                 65536        43985.157        22.349
  Unidirectional         60                131072        48106.039        40.870
  Unidirectional         60                262144        52025.723        75.581
  Unidirectional         60                524288        34537.824       227.702
  Unidirectional         60               1048576        37943.415       414.529
  Unidirectional         60               2097152        39675.179       792.871
  Unidirectional         60               4194304        40150.447      1566.970
  Unidirectional         60               8388608        40348.063      3118.591

  Bidirectional           2                    32            8.164         7.839
  Bidirectional           2                    64           12.980         9.861
  Bidirectional           2                   128           25.651         9.980
  Bidirectional           2                   256           48.762        10.500
  Bidirectional           2                   512           86.802        11.797
  Bidirectional           2                  1024          159.014        12.879
  Bidirectional           2                  2048          316.505        12.941
  Bidirectional           2                  4096          513.292        15.960
  Bidirectional           2                  8192          885.560        18.501
  Bidirectional           2                 16384         1364.023        24.023
  Bidirectional           2                 32768         1777.994        36.860
  Bidirectional           2                 65536         2187.473        59.919
  Bidirectional           2                131072         1721.430       152.283
  Bidirectional           2                262144         1579.577       331.917
  Bidirectional           2                524288         1684.895       622.339
  Bidirectional           2               1048576         1927.598      1087.961
  Bidirectional           2               2097152         2120.859      1977.644
  Bidirectional           2               4194304         2196.582      3818.936
  Bidirectional           2               8388608         2216.376      7569.661

  Bidirectional           4                    32           13.415         9.542
  Bidirectional           4                    64           25.602         9.999
  Bidirectional           4                   128           50.292        10.180
  Bidirectional           4                   256           93.613        10.939
  Bidirectional           4                   512          158.486        12.922
  Bidirectional           4                  1024          311.230        13.161
  Bidirectional           4                  2048          618.649        13.242
  Bidirectional           4                  4096         1114.490        14.701
  Bidirectional           4                  8192         1885.308        17.381
  Bidirectional           4                 16384         2798.024        23.422
  Bidirectional           4                 32768         3821.464        34.299
  Bidirectional           4                 65536         4411.811        59.419
  Bidirectional           4                131072         3459.760       151.539
  Bidirectional           4                262144         3129.124       335.102
  Bidirectional           4                524288         3344.624       627.022
  Bidirectional           4               1048576         3801.530      1103.320
  Bidirectional           4               2097152         4176.266      2008.638
  Bidirectional           4               4194304         4321.996      3881.822
  Bidirectional           4               8388608         4410.960      7607.059

  Bidirectional           8                    32           24.718        10.357
  Bidirectional           8                    64           49.618        10.319
  Bidirectional           8                   128           94.105        10.881
  Bidirectional           8                   256          180.007        11.377
  Bidirectional           8                   512          353.786        11.578
  Bidirectional           8                  1024          626.317        13.080
  Bidirectional           8                  2048         1194.291        13.719
  Bidirectional           8                  4096         2169.860        15.101
  Bidirectional           8                  8192         3402.797        19.259
  Bidirectional           8                 16384         5544.129        23.642
